,3m-1y,3m-18m,3m-2y,3m-3y,3m-4y,3m-5y,3m-7y,3m-10y,3m-15y,3m-20y,3m-30y,1y-1y,1y-18m,1y-2y,1y-3y,1y-4y,1y-5y,1y-7y,1y-10y,1y-15y,1y-20y,1y-30y,18m-1y,18m-18m,18m-2y,18m-3y,18m-4y,18m-5y,18m-7y,18m-10y,18m-15y,18m-20y,18m-30y,2y-1y,2y-18m,2y-2y,2y-3y,2y-4y,2y-5y,2y-7y,2y-10y,2y-15y,2y-20y,2y-30y,3y-1y,3y-18m,3y-2y,3y-3y,3y-4y,3y-5y,3y-7y,3y-10y,3y-15y,3y-20y,3y-30y,4y-1y,4y-18m,4y-2y,4y-3y,4y-4y,4y-5y,4y-7y,4y-10y,4y-15y,4y-20y,4y-30y,5y-1y,5y-18m,5y-2y,5y-3y,5y-4y,5y-5y,5y-7y,5y-10y,5y-15y,5y-20y,5y-30y,7y-1y,7y-18m,7y-2y,7y-3y,7y-4y,7y-5y,7y-7y,7y-10y,7y-15y,7y-20y,7y-30y,10y-1y,10y-18m,10y-2y,10y-3y,10y-4y,10y-5y,10y-7y,10y-10y,10y-15y,10y-20y,10y-30y,15y-1y,15y-18m,15y-2y,15y-3y,15y-4y,15y-5y,15y-7y,15y-10y,15y-15y,15y-20y,15y-30y,20y-1y,20y-18m,20y-2y,20y-3y,20y-4y,20y-5y,20y-7y,20y-10y,20y-15y,20y-20y,20y-30y,30y-1y,30y-18m,30y-2y,30y-3y,30y-4y,30y-5y,30y-7y,30y-10y,30y-15y,30y-20y,30y-30y,dates
2019-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-16
2019-07-17,291.42301676522766,598.7282417110582,928.232641107461,1542.2380992028338,2142.217749928197,2745.1586523206206,3931.7303691939887,5653.916184889618,8061.30357472779,10162.530417859554,13578.42363754008,597.969043035755,914.7660176455465,1218.2759136336826,1821.9074565960182,2420.4636411103565,3048.0189728034893,4201.014526590472,5860.043049220432,8232.79503663414,10298.794946739392,13687.150813819491,649.9695316350444,953.4963066348537,1259.3763229718243,1855.1764461640923,2475.259085023077,3073.8113372560765,4231.38019072701,5862.151503939356,8204.775489392749,10248.1082644923,13622.720078239916,620.5116629769218,926.4938382841865,1224.543109713737,1820.4405971994202,2454.1500284486538,3021.401246832713,4190.80161555206,5790.804454620957,8100.846470663731,10120.01608616946,13491.508902751724,604.3210986917438,902.672082319139,1200.784456669091,1832.2864996026547,2405.92438080367,2995.322841045592,4157.152256485409,5677.0349558665475,7934.299143795448,9909.665329408192,13276.6636536101,596.8041729821489,922.083473351755,1229.1128662939082,1803.9915824365307,2394.9839539234963,2979.14322314554,4069.572508750367,5562.435200211912,7770.760200219171,9703.577122903487,13072.551100130368,632.778493684822,927.7094888874344,1208.5025519592891,1800.7769416639057,2386.424694897956,2969.636363816666,4002.2234837740834,5443.181065285287,7600.657542628003,9485.035943853261,12867.56689656357,594.9805367575209,891.5046301454786,1183.8731859766121,1768.9202275283678,2284.3417936212063,2807.104997457456,3786.0225705226185,5156.778949356492,7210.723900463432,8961.383298540255,12396.112179587595,513.6963527149237,784.3087761099523,1039.1258448137014,1541.438281690018,2022.0367586963548,2490.1923367870186,3395.123100253317,4661.815650174656,6553.984171190677,8165.745179064921,11604.33713427448,457.6413590708471,684.0731718911993,905.1633936998551,1341.9235626634472,1762.8639873942302,2171.3171334418876,2959.8710816934035,4058.4356039879203,5662.305279354419,7424.453155579802,10483.750972654496,399.2442014743501,596.1338485986234,787.2161716978953,1164.1458968374573,1531.1725643800964,1882.589386076288,2529.1822915190714,3479.0437928036845,5228.869063627819,6860.654321231559,9502.643478137907,341.5953219984658,516.0744202830356,688.7498496668595,1039.4827488063893,1391.071735077705,1737.0867403638695,2413.1312663863646,3351.5732467568014,4716.805571720295,5934.5061171364505,8081.171096949285,2019-07-17
2019-07-18,-68.89211845595491,-144.2881128332083,-193.58212395779992,-261.5149018399243,-248.55726663663518,-292.49904494294606,-551.3832038639666,-945.4820546844276,-1581.0157406903454,-2160.6529110160773,-3189.7377792422776,-145.77746160048082,-197.9568269155352,-234.71017945863423,-227.7192266159036,-246.37966992225847,-381.47657447564416,-627.0747028764454,-1008.9737846149656,-1647.222613007587,-2228.866852697567,-3238.2526131701306,-107.48261164628275,-144.38444455233912,-147.1346566946122,-137.71640105029655,-216.73487369941722,-350.8323242909828,-592.9800895487715,-997.519240637339,-1617.3380757577834,-2200.762751412927,-3197.2306729452685,-89.03938768826993,-91.78715657800421,-82.16919353288176,-100.16805085197848,-235.78185451152967,-352.67654871458944,-595.4752270153404,-1021.8249179077393,-1620.9578591999598,-2205.451440423378,-3191.796755482792,6.863290056797268,6.704745558283321,-11.058998921704188,-146.5955131037408,-263.53049238058156,-392.1181973079947,-658.91740700425,-1064.0244599271682,-1650.7780245332397,-2238.867544548062,-3203.8729540213826,-17.815923920577916,-78.83752917033416,-153.2573270994326,-270.2375663390558,-398.95618783262034,-513.6844830047485,-782.1297043347731,-1190.0478500653116,-1777.0298712910153,-2363.390184879303,-3310.6497623941978,-135.44948566295352,-195.12812502591987,-252.5689718421636,-381.50416801941174,-496.50377485757053,-649.3383034991566,-925.5368959476764,-1292.405298354308,-1880.4451356846257,-2457.7608139983495,-3388.687135822838,-129.5396115385447,-186.49947034058277,-244.93031851169508,-398.2458764810508,-515.7158444968954,-675.0286025833921,-925.2411725812999,-1281.3775386255293,-1873.2592467626673,-2408.633762420446,-3306.914208823524,-116.93355289177634,-197.52181458137056,-277.6008240998417,-409.17083240050124,-528.0012615672167,-646.5739607403812,-885.156272022723,-1237.7181110333768,-1816.6651501853194,-2287.4903732737293,-3086.854292671487,-119.39414884115467,-180.08589718394796,-238.6471144148527,-356.0056997147258,-473.2268889442348,-591.097433541232,-829.9402478890115,-1169.0331078781164,-1638.4599997689947,-2096.656084219285,-2550.3541127790813,-119.07392246896597,-180.35992100093063,-238.57243310310514,-356.90062958825,-470.07065159638296,-577.1037656949338,-772.6941607933841,-1045.3979698168114,-1501.6062802179076,-1835.1121084250626,-1965.34042434016,-89.20924755033411,-135.41312749620192,-181.30912454462668,-274.3712766431927,-366.31905314701,-454.21435841244966,-613.3081827035785,-784.5872911736369,-896.1347732188588,-908.6946152877063,-901.5445975411276,2019-07-18
