,1w-3m,1w-6m,1w-9m,1w-1y,1w-2y,1w-3y,1w-4y,1w-5y,1w-7y,1w-10y,3m-3m,3m-6m,3m-9m,3m-1y,3m-2y,3m-3y,3m-4y,3m-5y,3m-7y,3m-10y,6m-3m,6m-6m,6m-9m,6m-1y,6m-2y,6m-3y,6m-4y,6m-5y,6m-7y,6m-10y,9m-3m,9m-6m,9m-9m,9m-1y,9m-2y,9m-3y,9m-4y,9m-5y,9m-7y,9m-10y,1y-3m,1y-6m,1y-9m,1y-1y,1y-2y,1y-3y,1y-4y,1y-5y,1y-7y,1y-10y,2y-3m,2y-6m,2y-9m,2y-1y,2y-2y,2y-3y,2y-4y,2y-5y,2y-7y,2y-10y,3y-3m,3y-6m,3y-9m,3y-1y,3y-2y,3y-3y,3y-4y,3y-5y,3y-7y,3y-10y,4y-3m,4y-6m,4y-9m,4y-1y,4y-2y,4y-3y,4y-4y,4y-5y,4y-7y,4y-10y,5y-3m,5y-6m,5y-9m,5y-1y,5y-2y,5y-3y,5y-4y,5y-5y,5y-7y,5y-10y,7y-3m,7y-6m,7y-9m,7y-1y,7y-2y,7y-3y,7y-4y,7y-5y,7y-7y,7y-10y,10y-3m,10y-6m,10y-9m,10y-1y,10y-2y,10y-3y,10y-4y,10y-5y,10y-7y,10y-10y,dates
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-31
2014-08-01,-25.548468847431018,-50.52996872230864,-75.36313101903076,-100.5818207039506,-200.62969137529663,-298.8893502383876,-395.34160659640776,-488.3608562309011,-666.3490380771325,-912.2835478979282,-25.26373663119019,-50.3717895041804,-75.31960628197321,-100.50021856946162,-200.25284725733212,-298.55450583503466,-393.6144338348375,-486.0095038119274,-662.9275237298732,-906.6677903574971,-25.113613958187344,-50.055869650783016,-75.24213712208646,-100.36814933358895,-200.2773440392898,-297.1955636340699,-391.60411240126666,-483.5575501032015,-659.0276652254821,-900.6150572072694,-25.230165706085543,-50.404760618602126,-75.54130590386863,-100.31892760314332,-199.10651224221084,-296.4977299746854,-390.23492001424165,-481.0992899596053,-655.0143017763545,-894.6928670190973,-25.193463044573544,-50.312279682805936,-75.10915053133627,-100.0694326462158,-198.36809946996044,-294.86978323960636,-387.94117640152444,-478.35694084853816,-650.8353883938837,-888.1905505471104,-24.892571625422917,-50.155837001713856,-73.84801907608376,-98.29866682374464,-194.80372925883353,-287.8722047524242,-378.28750820232233,-465.9690907342656,-632.6801351341285,-861.643405535497,-24.904336213779096,-48.776945151526434,-72.16722405687995,-96.50434890877162,-189.57819946168513,-279.9888413785777,-367.67042391052087,-452.4672889239232,-613.7750706634771,-834.1909758018628,-23.72370924076035,-47.19545727527064,-70.45597861705336,-93.32624157929855,-183.98093592354604,-271.64663495607755,-356.89071099983585,-438.55000629355203,-593.736623817766,-806.6019677517803,-23.038803911011414,-45.81113260760917,-68.24827212253518,-90.66247835781036,-178.33618018141146,-263.1249987206362,-345.4789244382697,-424.1968712017921,-573.9718968981238,-779.1163981809023,-21.603229947573816,-42.933272194217636,-63.82951260947722,-84.79686501340228,-166.71104439986289,-246.10007328462163,-322.1520271666289,-395.6743148012313,-534.8740125521581,-725.2448902420927,-19.44794449947822,-38.63259457880527,-57.631720504454364,-76.26019333811006,-149.77502569633168,-220.61404878502287,-289.33315707103986,-354.91913325185226,-479.3123919015076,-650.4535354028189,2014-08-01
2014-08-04,-25.548638082926097,-50.53019990823414,-75.36496665823654,-100.58787747282531,-200.69576277377868,-299.12749085894586,-395.86632713941924,-489.2527188014377,-668.1167655699442,-915.5378103431644,-25.263807683503202,-50.37330580613376,-75.32512118450998,-100.51260673465427,-200.34802710220987,-298.8507436170938,-394.2173236524603,-486.99370532746025,-664.804406567897,-910.0389257069517,-25.1146025194187,-50.06131350100678,-75.25399529581296,-100.39123374810816,-200.4123526643093,-297.559331152479,-392.2963223677443,-484.64621112067084,-661.024722001958,-904.1152550464105,-25.23352054594661,-50.41574228801534,-75.56238729760514,-100.35752288997344,-199.28528013300627,-296.93565034838355,-391.0212405709135,-482.2931725636439,-657.1301892097163,-898.3210462117318,-25.19964327599939,-50.32992024710139,-75.14281404862004,-100.12777349081122,-198.59620048570764,-295.38248041498457,-388.81974950314464,-479.6551360523729,-653.0686092916783,-891.9415726045388,-24.922071116191233,-50.226792813969325,-73.96206313433291,-98.46842699489642,-195.25785690967416,-288.69240900101033,-379.52736256156163,-467.6638575734165,-635.3515541572913,-865.8521751635435,-24.965133175670054,-48.906881646026534,-72.36790313138556,-96.78884261078969,-190.2284079076341,-281.05893556666524,-369.1954305785201,-454.47240880597064,-616.7855099645207,-838.7457007957246,-23.80807254237863,-47.37138578709082,-70.72444293518436,-93.69309705436825,-184.7686780438759,-272.8894556615187,-358.61637691974374,-440.77100278581906,-596.9776151700387,-811.3905482624162,-23.13940328074232,-46.016875447547775,-68.55893979624202,-91.08324976046703,-179.21194505133366,-264.480938026831,-347.3341523164064,-426.5571020568866,-577.3617974982926,-784.0490857728992,-21.7213705004504,-43.17177743672353,-64.18683973358853,-85.27697822745054,-167.68769658387475,-247.58581943623983,-324.14994154031103,-398.188317590127,-538.4181671221302,-730.3145493833916,-19.576324815217728,-38.889901238531074,-58.01730836121075,-76.77377246529878,-150.80469544140595,-222.15943027909114,-291.3957903172145,-357.4916137799538,-482.8976829274674,-655.5331255611203,2014-08-04
2014-08-05,-25.548734700042793,-50.53058290364492,-75.36488726488305,-100.58965319478082,-200.71549292910632,-299.18686609883594,-395.9804863220942,-489.4327474525551,-668.463453338049,-916.1980912131713,-25.264029766122803,-50.37312574192751,-75.3265830200423,-100.51595839080454,-200.37480483222788,-298.9213143936481,-394.34510731525575,-487.18988676845237,-665.1724685108932,-910.7226162768492,-25.11440649824867,-50.06255325391951,-75.25733331838609,-100.39831682780266,-200.44888254979756,-297.6431321057614,-392.44024411662144,-484.861634123627,-661.4173327104634,-904.8248587292201,-25.23443340266366,-50.41932008420123,-75.56916922439919,-100.36974646517491,-199.3320571234009,-297.033725270109,-391.1822903496052,-482.52846971309873,-657.5476334960521,-899.0558000302531,-25.201716433945272,-50.33576357388314,-75.15350196393479,-100.1452746577192,-198.65300433230328,-295.49377856462183,-388.9967294269368,-479.9095487475141,-653.5100738433762,-892.6987568714674,-24.929870771196597,-50.244495790476634,-73.98954439726893,-98.50772967458408,-195.351600037507,-288.8518871124119,-379.764274089795,-467.98959250503526,-635.8818892262592,-866.6787398827379,-24.97755262471315,-48.93259442039354,-72.40704710359302,-96.8433295958566,-190.34855882792448,-281.2565444152109,-369.4818628304512,-454.85706951107295,-617.3852571879047,-839.6022218804821,-23.823425740038406,-47.40310645737327,-70.77274285860702,-93.7589641192433,-184.91222777597255,-273.1218847185226,-358.9476383799173,-441.20840470040827,-597.6239930140467,-812.2433545781516,-23.157529733585704,-46.05427890279519,-68.61577955254013,-91.16089915335809,-179.37844469547173,-264.7456923972386,-347.70587843475204,-427.03669835998016,-578.0290831662344,-784.8684693721366,-21.744990987165437,-43.21991229378949,-64.2593681442167,-85.3752066806218,-167.89229672122394,-247.89916954992663,-324.56388970871296,-398.68914737770274,-539.0387352142816,-730.9827022694853,-19.602789796353587,-38.94195126841374,-58.09437456994887,-76.87462499437055,-150.99238480625405,-222.41632773459025,-291.7033524674383,-357.8314125677822,-483.2524545860331,-655.7911798605687,2014-08-05
2014-08-06,-25.548824728054115,-50.53075317627475,-75.36580097072454,-100.58890010966338,-200.70099216957328,-299.1326098559151,-395.8581484438136,-489.19724490159433,-668.0128979030562,-915.5467869443062,-25.264108552117353,-50.373957766158995,-75.32587740469899,-100.51483181964885,-200.35311769155533,-298.85475754631193,-394.2015401934699,-486.9257086213416,-664.7033633568192,-910.0608611254878,-25.114936087761002,-50.061768852581636,-75.25590234639941,-100.39508155455019,-200.4169921197773,-297.5604322091352,-392.26898063495935,-484.56534814780395,-660.9276785421107,-904.1513694779331,-25.233715523920104,-50.417342013166284,-75.56598684820086,-100.36218869296458,-199.2900102473274,-296.9327533427653,-390.9802055711868,-482.20206856789116,-657.0388373993355,-898.3720362190232,-25.200634627068446,-50.333312701968545,-75.14689193009676,-100.13200252301777,-198.60036227106707,-295.3737536534407,-388.764300059152,-479.55604460000643,-652.9839644925441,-892.0069728304527,-24.921892960936276,-50.22673331257593,-73.96217700939727,-98.46835974804927,-195.24489053075786,-288.63273766386476,-379.4240420769887,-467.55454136249267,-635.3019172161785,-865.9740399334374,-24.964219004089927,-48.90340144953724,-72.36096294410726,-96.77596423908153,-190.16883391543257,-280.95568232893936,-369.08618161444326,-454.383602221477,-616.7882345238844,-838.9270000847583,-23.800597859760206,-47.35203655036583,-70.6924704572699,-93.64623238478558,-184.67819736779563,-272.79317812933516,-358.5408429818854,-440.7347538333852,-597.0521031404688,-811.6413064078274,-23.12547594651516,-45.99089146587917,-68.52266751051161,-91.03954803744841,-179.16234090559902,-264.4518382323406,-347.3445875736506,-426.6194006084518,-577.5435156448771,-784.3980920306662,-21.724075007804437,-43.17936580401875,-64.19977723864372,-85.29742060703371,-167.7473758536857,-247.69773521380904,-324.32042894494225,-398.41949857094477,-538.7647964550016,-730.8019020686286,-19.590552112276498,-38.91888220237488,-58.06100954506672,-76.83249835550163,-150.92411503642523,-222.33821017768616,-291.63093310491143,-357.7783117446869,-483.27321516239397,-655.9944797085491,2014-08-06
2014-08-07,-25.548980074654516,-50.53162670034661,-75.36616317107277,-100.59130442972335,-200.71522500781563,-299.1780607234703,-395.9534506830258,-489.3568492880519,-668.3345175990712,-916.1562778987995,-25.264616462678326,-50.37417659705465,-75.32777020878049,-100.5182226324013,-200.37161729880057,-298.90994727074286,-394.30947930736323,-487.10114375442583,-665.04499124784,-910.6934479053966,-25.11491060525203,-50.06315374610218,-75.25905056512353,-100.40083369149463,-200.4425955617474,-297.627435342632,-392.3923242955274,-484.7595970060426,-661.2921023011336,-904.8105733235127,-25.2346695536805,-50.420550103971564,-75.57132020980495,-100.37097545562077,-199.3237919985548,-297.01258284445476,-391.1202960817042,-482.4157097035883,-657.4261271511739,-899.0583555371991,-25.202452538248576,-50.337679945392445,-75.15427285588429,-100.14359974633967,-198.6427302684062,-295.46566385223014,-388.92024262279745,-479.7883510226101,-653.393163746136,-892.719084336037,-24.92697561164364,-50.23928966498684,-73.98265100014461,-98.49913052206651,-195.32517537858496,-288.7770823397383,-379.6447512762704,-467.8605812290324,-635.7949875623501,-866.7892976341097,-24.975296956693583,-48.92659078264955,-72.39634527952406,-96.82550408124524,-190.2823696457035,-281.14562075420395,-369.36145070696585,-454.75043347772987,-617.3510346586447,-839.8343607125516,-23.81501373654066,-47.382403074729275,-70.73911020911888,-93.71043263993266,-184.81900213481472,-273.0193571488029,-358.85911111986445,-441.1482709232331,-597.6728792372462,-812.6324263774072,-23.143507771146886,-46.028012728736456,-68.57892286592431,-91.11612457162872,-179.32426933685417,-264.7053429458839,-347.6940967755448,-427.0686650129412,-578.2147451161642,-785.4674948057991,-21.746514360632084,-43.224767579659456,-64.2678446083778,-85.38898277076402,-167.9344063333176,-247.9853132258786,-324.7149033606649,-398.9287164050773,-539.5291024044373,-732.033581532407,-19.61664952057381,-38.97177974335689,-58.14077528935819,-76.93969863427807,-151.14608010322294,-222.68307242148387,-292.10878341677005,-358.3984512377813,-484.21780188085546,-657.5360996459441,2014-08-07
2014-08-08,-25.549194828442324,-50.53214339133019,-75.36773355138067,-100.59377651683234,-200.73453649628354,-299.2532021995418,-396.14606310474414,-489.74990202869753,-669.287336670829,-918.2776278431602,-25.264895876817658,-50.37548311102999,-75.32996258352642,-100.52202177199433,-200.4005544402945,-299.0061764557473,-394.5406743729927,-487.55042025749077,-666.0731922922258,-912.9195249346519,-25.11569118521878,-50.06506670670876,-75.26231893370729,-100.40643140802374,-200.48374837929612,-297.7494182025357,-392.67001973884334,-485.27264916928146,-662.404196433849,-907.1531327081045,-25.235694552410358,-50.42305627187798,-75.57604847560269,-100.38070592204011,-199.37867387897097,-297.1657456819445,-391.4511486674172,-482.9947680885529,-658.6241072196347,-901.519396042378,-25.203777864113235,-50.34136470131499,-75.16277143189407,-100.15988195310567,-198.71403902242935,-295.65297399696874,-389.30643490038517,-480.4347563049273,-654.6794859909431,-895.2975870541813,-24.93660932004205,-50.2621931102078,-74.01936293404182,-98.55415706932365,-195.49614303225405,-289.14698131564717,-380.2748743518216,-468.7887249923398,-637.4543719275943,-869.8519415475968,-24.99663443837632,-48.97524078433476,-72.47441702807618,-96.94146674134562,-190.59713791332973,-281.7207172824979,-370.23456792301613,-455.96544696851373,-619.3899836626489,-843.3689686224271,-23.855359968117533,-47.47191515352545,-70.87994802874579,-93.90993475245543,-185.27955030258158,-273.77813450503277,-359.9619793067665,-442.6398834977225,-600.0666407913438,-816.6058040017889,-23.203942677969437,-46.153626438019224,-68.76978934084178,-91.3770541190606,-179.883325845779,-265.60642631206986,-348.9868457080084,-428.7928457493192,-580.9088363177293,-789.8091727007286,-21.827197482984555,-43.39052278169479,-64.518674655734,-85.73087904549766,-168.6656469352545,-249.15129314427628,-326.34898010873576,-401.063216555257,-542.7408977837691,-736.9973568659052,-19.730744906896277,-39.203287900850036,-58.48995492940675,-77.40910690937542,-152.11599056841015,-224.18004043365136,-294.15916592332394,-361.01597602945475,-488.01723473914944,-663.1929998013563,2014-08-08
2014-08-11,,,,,,,,,,,-25.265177621886146,-50.37628836956338,-75.33055393757456,-100.52296143943813,-200.39454030448786,-298.96657041869787,-394.4329270709976,-487.33223009400194,-665.6505510149375,-912.245786555955,-25.116132183612798,-50.065376315688425,-75.26289648540748,-100.40704647129753,-200.4715043394636,-297.69593030235177,-392.5371343526815,-485.02428437129663,-661.9587476803806,-906.4596367707585,-25.235750508682976,-50.4231946071546,-75.57640748334352,-100.38009629082093,-199.3589173584112,-297.0961887174051,-391.29020244730833,-482.71775128099193,-658.156836245534,-900.8071062038839,-25.20384873522225,-50.34167015560912,-75.16211597815658,-100.156921700873,-198.68490675733747,-295.56537203513165,-389.11659674694414,-480.1303910686876,-654.19057857237,-894.5673329374733,-24.93311982272884,-50.25265275117086,-74.00302356884973,-98.5279850564645,-195.41154439791353,-288.9601137027509,-379.97346936781446,-468.3905057631749,-636.8836889922675,-869.0575260492035,-24.985692775754615,-48.95066287099601,-72.43507764095153,-96.88303346440108,-190.43651322903867,-281.44548431135,-369.86252070671037,-455.5056718150325,-618.7637847350727,-842.542268030353,-23.834798431004167,-47.42575124550731,-70.80723809602279,-93.80739852499661,-185.0622302952181,-273.46409589394193,-359.5597930579167,-442.15321509630644,-599.4236363006567,-815.7877203504252,-23.17429039647628,-46.09447473571621,-68.68241388315968,-91.26223850421557,-179.6717394884716,-265.30712619428914,-348.6023750990777,-428.327271506034,-580.3011320381713,-789.0528895788043,-21.804631452976803,-43.345943900644166,-64.45249056319267,-85.64315110832207,-168.49318322909266,-248.89705208419593,-326.0199054734254,-400.6670202860286,-542.2366990981579,-736.4005060764093,-19.71111627147328,-39.16469446324927,-58.43273523096718,-77.33407546786665,-151.9738605321374,-223.97947762717124,-293.90882662539565,-360.7252476513211,-487.6745808046064,-662.8414855613884,2014-08-11
2014-08-12,,,,,,,,,,,-25.26530459708904,-50.37659447081519,-75.33187718462369,-100.52468918718307,-200.39804692932327,-298.98679378939585,-394.4745882095011,-487.4335316151414,-665.8196192108519,-912.3035408714627,-25.1162950579738,-50.06657258753464,-75.26447894519788,-100.40882580070615,-200.47755732708424,-297.7204294172009,-392.59019282001873,-485.141174962175,-662.1273208283503,-906.4995187132383,-25.236505475680822,-50.424616905888875,-75.5777362262935,-100.38183140536353,-199.36884131728817,-297.12477701035664,-391.3583416905896,-482.848450292754,-658.3231983495938,-900.8284687235059,-25.204550467369522,-50.34225321317152,-75.16313371805951,-100.1578395516006,-198.69876881247353,-295.59789418976084,-389.20013345737993,-480.27194169442885,-654.3521182838786,-894.5691074572744,-24.934040897530956,-50.256589878809294,-74.01062881796234,-98.54092926087291,-195.44315524706587,-289.0427326698173,-380.11410214282824,-468.5558184018488,-637.0118978311875,-868.9784515830866,-24.990810615606733,-48.960082740720026,-72.44870717856772,-96.9017285676,-190.50617223985478,-281.5731728819553,-370.0148891409759,-455.6533494714051,-618.8228307939834,-842.3649710521399,-23.841880640348876,-47.445396370239195,-70.84097742230847,-93.85856114662151,-185.1714691651574,-273.5978234851027,-359.68856303764096,-442.24940349912646,-599.3924460292835,-815.5004738897576,-23.19100515521267,-46.12680846243221,-68.728731283224,-91.32038122148211,-179.7544708605318,-265.38508932066566,-348.6476008805498,-428.3166585541286,-580.1392270581075,-788.6171052515883,-21.806507407136355,-43.347090287366214,-64.4520829696049,-85.63846033042915,-168.45607942933873,-248.80374667123732,-325.85544950382473,-400.4226331812378,-541.8165507172764,-735.6499954552881,-19.694542193613913,-39.130275269158886,-58.38034492559696,-77.26273216095771,-151.82256850397897,-223.74289429709614,-293.58124471247186,-360.3000900978582,-487.01703440770586,-661.7308810931936,2014-08-12
2014-08-13,,,,,,,,,,,-25.265535637826126,-50.377847842792626,-75.33449658070813,-100.53011799564067,-200.42500572715605,-299.0562833202554,-394.5954643700229,-487.56983393415237,-665.8977679893098,-912.0729754065849,-25.117054655379334,-50.068960942882,-75.26941181273929,-100.41768128934453,-200.51298867668402,-297.80284669699995,-392.7187615173067,-485.27541441947966,-662.1899148895152,-906.2300205259085,-25.23786305023092,-50.42883059542939,-75.58558586173277,-100.39458081845089,-199.41320131747767,-297.2203119583296,-391.49099735594166,-482.9785650225483,-658.3681346095054,-900.5177826786132,-25.206898116344508,-50.34872034646253,-75.17399544062573,-100.17483807495746,-198.752786585877,-295.70488916111367,-389.3334355101982,-480.39562368464544,-654.3766617512076,-894.2154005607523,-24.94087418316611,-50.272582652073794,-74.03599911685396,-98.57794851091955,-195.53310630545045,-289.1590338598787,-380.22078560968794,-468.62734920340677,-636.9243480650584,-868.4207630822316,-25.003229040049185,-48.98605669577542,-72.48785355226241,-96.95469320109214,-190.58542248089424,-281.6428370987684,-370.0494006924872,-455.62387516533045,-618.5713652988309,-841.5544534440219,-23.8536744794739,-47.464654562108926,-70.86575275112992,-93.88485040222984,-185.18797566334473,-273.57903406534064,-359.6052078939441,-442.0709083994596,-598.9307489747031,-814.3927540544679,-23.191684417028597,-46.12530353436611,-68.72444942921939,-91.3106731675694,-179.70953770827765,-265.27608604500347,-348.442850896981,-427.9859428179367,-579.4646560227718,-787.2200931549621,-21.79376203541752,-43.31876666826896,-64.40753941451939,-85.57447447284326,-168.29699886165164,-248.5178441849897,-325.4132132823881,-399.7934138788248,-540.7294221362698,-733.7247381375144,-19.65851266839051,-39.055346859958576,-58.26583518319843,-77.10594177759211,-151.47871320483506,-223.18315355013007,-292.77796941927414,-359.2337838703347,-485.3768724999289,-659.1490380940722,2014-08-13
