,eff:2018-12-18|mat:5y|roll:None|coup:outright0.01,eff:2018-12-18|mat:5y|roll:None|coup:outright0.02,eff:2018-12-18|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-18|mat:5y|roll:None|coup:outright0.04,eff:2018-12-18|mat:5y|roll:None|coup:outright0.05
2018-02-05,-464.5341053586519,-464.5341053586519,-464.5341053586519,-464.5341053586519,-464.5341053586519
2018-02-06,-466.9182809268799,-466.9182809268799,-466.9182809268799,-466.9182809268799,-466.9182809268799
2018-02-07,-465.543997412268,-465.543997412268,-465.543997412268,-465.543997412268,-465.543997412268
2018-02-08,-465.6149735679654,-465.6149735679654,-465.6149735679654,-465.6149735679654,-465.6149735679654
2018-02-09,-466.25288181022006,-466.25288181022006,-466.25288181022006,-466.25288181022006,-466.25288181022006
2018-02-12,-466.2465301669413,-466.2465301669413,-466.2465301669413,-466.2465301669413,-466.2465301669413
2018-02-13,-466.00837073580635,-466.00837073580635,-466.00837073580635,-466.00837073580635,-466.00837073580635
2018-02-14,-466.1585211542832,-466.1585211542832,-466.1585211542832,-466.1585211542832,-466.1585211542832
2018-02-15,-464.82144370355746,-464.82144370355746,-464.82144370355746,-464.82144370355746,-464.82144370355746
2018-02-16,-464.6715037232662,-464.6715037232662,-464.6715037232662,-464.6715037232662,-464.6715037232662
2018-02-20,-465.0707374524753,-465.0707374524753,-465.0707374524753,-465.0707374524753,-465.0707374524753
2018-02-21,-464.96135560298603,-464.96135560298603,-464.96135560298603,-464.96135560298603,-464.96135560298603
2018-02-22,-464.1158245439897,-464.1158245439897,-464.1158245439897,-464.1158245439897,-464.1158245439897
2018-02-23,-464.6242473117238,-464.6242473117238,-464.6242473117238,-464.6242473117238,-464.6242473117238
2018-02-26,-464.9708728354691,-464.9708728354691,-464.9708728354691,-464.9708728354691,-464.9708728354691
2018-02-27,-465.2652421151297,-465.2652421151297,-465.2652421151297,-465.2652421151297,-465.2652421151297
2018-02-28,-464.51439421338966,-464.51439421338966,-464.51439421338966,-464.51439421338966,-464.51439421338966
2018-03-01,-464.69168152301586,-464.69168152301586,-464.69168152301586,-464.69168152301586,-464.69168152301586
2018-03-02,-465.52463178988705,-465.52463178988705,-465.52463178988705,-465.52463178988705,-465.52463178988705
2018-03-05,-464.8341223943263,-464.8341223943263,-464.8341223943263,-464.8341223943263,-464.8341223943263
2018-03-06,-464.7534583414016,-464.7534583414016,-464.7534583414016,-464.7534583414016,-464.7534583414016
2018-03-07,-464.5261292919888,-464.5261292919888,-464.5261292919888,-464.5261292919888,-464.5261292919888
2018-03-08,-464.5757864537172,-464.5757864537172,-464.5757864537172,-464.5757864537172,-464.5757864537172
2018-03-09,-464.79619648661446,-464.79619648661446,-464.79619648661446,-464.79619648661446,-464.79619648661446
2018-03-12,-464.567776831433,-464.567776831433,-464.567776831433,-464.567776831433,-464.567776831433
2018-03-13,-464.8565313808655,-464.8565313808655,-464.8565313808655,-464.8565313808655,-464.8565313808655
2018-03-14,-465.1623233077577,-465.1623233077577,-465.1623233077577,-465.1623233077577,-465.1623233077577
2018-03-15,-465.37075720770235,-465.37075720770235,-465.37075720770235,-465.37075720770235,-465.37075720770235
2018-03-16,-465.0682279175,-465.0682279175,-465.0682279175,-465.0682279175,-465.0682279175
2018-03-19,-464.8447446983721,-464.8447446983721,-464.8447446983721,-464.8447446983721,-464.8447446983721
2018-03-20,-464.7242741916174,-464.7242741916174,-464.7242741916174,-464.7242741916174,-464.7242741916174
2018-03-21,-464.17227615018305,-464.17227615018305,-464.17227615018305,-464.17227615018305,-464.17227615018305
2018-03-22,-464.40661922975255,-464.40661922975255,-464.40661922975255,-464.40661922975255,-464.40661922975255
2018-03-23,-464.9908229461739,-464.9908229461739,-464.9908229461739,-464.9908229461739,-464.9908229461739
2018-03-26,-465.39101966401734,-465.39101966401734,-465.39101966401734,-465.39101966401734,-465.39101966401734
2018-03-27,-464.9508140057119,-464.9508140057119,-464.9508140057119,-464.9508140057119,-464.9508140057119
2018-03-28,-465.905661604552,-465.905661604552,-465.905661604552,-465.905661604552,-465.905661604552
2018-03-29,-465.72061495678213,-465.72061495678213,-465.72061495678213,-465.72061495678213,-465.72061495678213
2018-03-30,-465.96126657639445,-465.96126657639445,-465.96126657639445,-465.96126657639445,-465.96126657639445
2018-04-02,-465.86012836419917,-465.86012836419917,-465.86012836419917,-465.86012836419917,-465.86012836419917
2018-04-03,-466.3018893519542,-466.3018893519542,-466.3018893519542,-466.3018893519542,-466.3018893519542
2018-04-04,-465.9045769707252,-465.9045769707252,-465.9045769707252,-465.9045769707252,-465.9045769707252
2018-04-05,-465.6240339027597,-465.6240339027597,-465.6240339027597,-465.6240339027597,-465.6240339027597
2018-04-06,-465.41533297158674,-465.41533297158674,-465.41533297158674,-465.41533297158674,-465.41533297158674
2018-04-09,-466.31721617041035,-466.31721617041035,-466.31721617041035,-466.31721617041035,-466.31721617041035
2018-04-10,-466.19855595602144,-466.19855595602144,-466.19855595602144,-466.19855595602144,-466.19855595602144
2018-04-11,-465.8643898440467,-465.8643898440467,-465.8643898440467,-465.8643898440467,-465.8643898440467
2018-04-12,-465.9704387947608,-465.9704387947608,-465.9704387947608,-465.9704387947608,-465.9704387947608
2018-04-13,-465.285555418522,-465.285555418522,-465.285555418522,-465.285555418522,-465.285555418522
2018-04-16,-465.35766870270913,-465.35766870270913,-465.35766870270913,-465.35766870270913,-465.35766870270913
2018-04-17,-465.2954968421958,-465.2954968421958,-465.2954968421958,-465.2954968421958,-465.2954968421958
2018-04-18,-465.19129364893433,-465.19129364893433,-465.19129364893433,-465.19129364893433,-465.19129364893433
2018-04-19,-464.72351758729906,-464.72351758729906,-464.72351758729906,-464.72351758729906,-464.72351758729906
2018-04-20,-464.53464765047477,-464.53464765047477,-464.53464765047477,-464.53464765047477,-464.53464765047477
2018-04-23,-463.9782340378272,-463.9782340378272,-463.9782340378272,-463.9782340378272,-463.9782340378272
2018-04-24,-463.8385988142755,-463.8385988142755,-463.8385988142755,-463.8385988142755,-463.8385988142755
