,eff:2018-12-19|mat:5y|roll:None|coup:outright0.01,eff:2018-12-19|mat:5y|roll:None|coup:outright0.02,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-19|mat:5y|roll:None|coup:outright0.04,eff:2018-12-19|mat:5y|roll:None|coup:outright0.05,eff:2018-01-01|mat:5y|roll:None|coup:outright0.01,eff:2018-01-01|mat:5y|roll:None|coup:outright0.02,eff:2018-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2018-01-01|mat:5y|roll:None|coup:outright0.04,eff:2018-01-01|mat:5y|roll:None|coup:outright0.05,eff:2020-01-01|mat:5y|roll:None|coup:outright0.01,eff:2020-01-01|mat:5y|roll:None|coup:outright0.02,eff:2020-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2020-01-01|mat:5y|roll:None|coup:outright0.04,eff:2020-01-01|mat:5y|roll:None|coup:outright0.05
2018-01-17,-457.2728854820453,-474.8194201566949,-487.9793211627256,-509.9124895063578,-527.4590241809492,,,,,,-416.62196851502813,-438.435269552363,-454.79524533072254,-482.06187162781134,-503.8751726656265
2018-01-18,-455.6643665120792,-473.163956790886,-486.2886494994964,-508.16313734760485,-525.6627276255022,,,,,,-414.52995542310236,-436.2765889613074,-452.58656411556876,-479.7698560385106,-501.5164895769558
2018-01-19,-455.06982145467913,-472.5543876504089,-485.6678122970188,-507.5235200426469,-525.0080862383911,,,,,,-413.2749343359392,-434.99588157394464,-451.286592002165,-478.4377760500428,-500.15872328795376
2018-01-22,-452.9761692083557,-470.40279834136163,-483.472770191198,-505.25605660747533,-522.682685740474,,,,,,-410.6021293882368,-432.23884392574104,-448.46637982876564,-475.51227300085156,-497.14898753821757
2018-01-23,-453.44400061704073,-470.839840264227,-483.8867199993256,-505.63151955840294,-523.0273592053345,,,,,,-411.5065875465443,-433.1205147047949,-449.3309600736175,-476.3483690215653,-497.96229617991776
2018-01-24,-454.9964587786235,-472.41027788594505,-485.4706422168674,-507.2379161020362,-524.6517352101946,,,,,,-413.9926733131797,-435.64635627289675,-451.886618492601,-478.95372219230927,-500.6074051526448
2018-01-25,-454.1541367103201,-471.53764044717536,-484.57526824887464,-506.3046479199038,-523.6881516564972,,,,,,-412.8309693870906,-434.4435763607107,-450.65303159076575,-477.6687903070706,-499.28139728072705
2018-01-26,-455.38597398556885,-472.7815476669057,-485.828227928716,-507.572695030889,-524.9682687121385,,,,,,-414.66238429887744,-436.303973469192,-452.53516534680966,-479.5871518092244,-501.22874097928434
2018-01-29,-453.3264968176882,-470.65818634616886,-483.6569534923546,-505.32156540228607,-522.6532549307958,,,,,,-412.58969312546833,-434.14565720949764,-450.312630273038,-477.2575853786111,-498.8135494632588
2018-01-30,-452.62920431118255,-469.9082171145638,-482.86747671762714,-504.46624272233015,-521.7452555264608,,,,,,-411.7936994024494,-433.2886926910214,-449.4099376574741,-476.2786792682091,-497.7736725565046
