,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-09-19,-461.61610782710227
2018-09-20,-461.6268710462888
2018-09-21,-461.43894691271635
2018-09-24,-461.5693186370835
2018-09-25,-461.5110186465861
2018-09-26,-461.3056472823788
2018-09-27,-461.7189083764857
2018-09-28,-461.7105642619639
2018-10-01,-461.8008472727141
2018-10-02,-461.82545781431236
2018-10-03,-461.97578588643887
2018-10-04,-461.0792358205985
2018-10-05,-461.08783429450204
2018-10-09,-460.8458172739769
2018-10-10,-460.9657921466139
2018-10-11,-461.5985403520705
2018-10-12,-461.5732510468249
2018-10-15,-461.5769342727342
2018-10-16,-461.57331372213673
2018-10-17,-461.4504512487825
2018-10-18,-461.11241890374515
2018-10-19,-461.19361608347157
2018-10-22,-461.0803115794108
2018-10-23,-461.27930124195234
2018-10-24,-461.65638949151855
2018-10-25,-462.429449142526
2018-10-26,-462.2438371692391
2018-10-29,-462.8455616702971
2018-10-30,-462.75468631423416
2018-10-31,-462.443574390093
2018-11-01,-462.25346581407496
2018-11-02,-462.46659752590966
2018-11-05,-461.74698352896144
2018-11-06,-461.96292296024615
2018-11-07,-461.7473143232004
2018-11-08,-461.58762531979767
2018-11-09,-461.5412785021498
2018-11-13,-462.06119777609945
2018-11-14,-462.7510062979311
2018-11-15,-463.05567861961435
2018-11-16,-463.2399451468706
2018-11-19,-464.03519892571717
2018-11-20,-464.2927963457874
2018-11-21,-464.1047221684671
2018-11-23,-464.0408091223403
2018-11-26,-464.30625392863885
2018-11-27,-464.24959689342916
2018-11-28,-464.2987357323412
2018-11-29,-464.68448118085064
2018-11-30,-464.875445244385
2018-12-03,-465.15407635065094
2018-12-04,-465.05155364155826
2018-12-05,-465.5241643950179
2018-12-06,-465.52682864636665
2018-12-07,-466.0081461952974
2018-12-10,-466.97994492589146
2018-12-11,-467.15261675335717
2018-12-12,-466.7776770299904
2018-12-13,-466.4571143374204
2018-12-14,-466.6286212955487
2018-12-17,-466.95951054675413
2018-12-18,-467.5436797695743
2018-12-19,-468.33063937312704
2018-12-20,-468.649656152145
2018-12-21,-467.95549824512995
2018-12-24,-468.45432254921076
2018-12-26,-469.44054202600523
2018-12-27,-468.86670504497255
2018-12-28,-469.4689081407737
2018-12-31,-470.1114640348934
2019-01-02,-470.5138284000258
2019-01-03,-470.90424398493053
2019-01-04,-472.27336624234425
2019-01-07,-470.67692084670233
2019-01-08,-470.3320956803184
2019-01-09,-469.90800416003765
2019-01-10,-470.19293621826984
2019-01-11,-470.0074709370287
2019-01-14,-470.3856880454655
2019-01-15,-470.50013168197853
2019-01-16,-470.46926827919526
2019-01-17,-470.4229942089667
2019-01-18,-470.0844249808036
2019-01-22,-469.60661841128285
2019-01-23,-470.26168767395654
2019-01-24,-470.32826886668647
2019-01-25,-470.61475057250584
2019-01-28,-470.200727176344
2019-01-29,-470.51807993795296
2019-01-30,-470.8678688380679
2019-01-31,-471.4967368873324
2019-02-01,-472.0782170917291
2019-02-04,-471.4847459184209
2019-02-05,-471.2337131806903
2019-02-06,-471.46655016339867
2019-02-07,-471.5296821414445
2019-02-08,-472.0408862535742
2019-02-11,-472.25554888405327
2019-02-12,-472.21096654483415
2019-02-13,-471.97543693018304
2019-02-14,-471.71831498385916
2019-02-15,-472.15766693025853
2019-02-19,-472.0341089188673
2019-02-20,-472.66897750565033
2019-02-21,-472.6648709375962
2019-02-22,-472.4241084471465
2019-02-25,-472.83842401917053
2019-02-26,-472.968669950851
2019-02-27,-473.312194858094
2019-02-28,-473.0481470567499
2019-03-01,-472.77799940070963
2019-03-04,-472.43107117424427
2019-03-05,-472.7748071627518
2019-03-06,-472.6224312275803
2019-03-07,-472.92382328531335
2019-03-08,-473.3821395364773
2019-03-11,-473.53353190239875
2019-03-12,-473.46812840533005
2019-03-13,-473.9093059565041
2019-03-14,-473.7656006009371
2019-03-15,-473.83455193528164
2019-03-18,-474.1306083121308
2019-03-19,-474.1121285648588
2019-03-20,-461.5885304507134
2019-03-21,-462.4825027583447
2019-03-22,-462.509578431837
2019-03-25,-463.6882720618233
2019-03-26,-464.72720225660225
2019-03-27,-464.3554728700018
2019-03-28,-464.83558130781137
2019-03-29,-464.3074304162308
2019-04-01,-463.99111857054754
2019-04-02,-463.2415813126195
2019-04-03,-463.64292520291576
2019-04-04,-463.36355494748483
2019-04-05,-463.4425342121756
2019-04-08,-463.5406397869883
2019-04-09,-463.4496748947421
2019-04-10,-463.73606875215506
2019-04-11,-464.09409620585416
2019-04-12,-463.7588249734104
2019-04-15,-463.12912969839897
2019-04-16,-463.25115699114394
2019-04-17,-463.0196199223131
2019-04-18,-463.0915880327335
2019-04-19,-463.40978339099286
2019-04-22,-463.5182766194174
2019-04-23,-463.5286913068937
2019-04-24,-463.82014760637617
2019-04-25,-464.32076562713735
2019-04-26,-464.1328735279686
2019-04-29,-464.60388302267
2019-04-30,-464.5400342277504
2019-05-01,-464.7796993573064
2019-05-02,-464.3720152021529
2019-05-03,-464.0581031802342
2019-05-06,-464.2482371171209
2019-05-07,-464.9128683429316
2019-05-08,-465.06405218073496
2019-05-09,-464.93804043354
2019-05-10,-465.3185480226763
2019-05-13,-465.2207300887244
2019-05-14,-466.3041471857882
2019-05-15,-466.306583310283
2019-05-16,-466.782387630362
2019-05-17,-466.58084116119494
2019-05-20,-466.5959274513068
2019-05-21,-466.4380052727849
2019-05-22,-466.2215958156323
2019-05-23,-466.6181382198682
2019-05-24,-467.3745354246315
2019-05-28,-467.41975715019794
2019-05-29,-468.0337890652447
2019-05-30,-468.0525075852852
2019-05-31,-468.54374321214925
2019-06-03,-469.8033030531145
2019-06-04,-470.9075601495699
2019-06-05,-470.3062158137577
2019-06-06,-470.48001880892696
2019-06-07,-470.21651242691325
2019-06-10,-470.4471818387782
2019-06-11,-470.00092604981006
2019-06-12,-470.02074886861794
2019-06-13,-470.621349354342
2019-06-14,-471.23154487943395
2019-06-17,-471.34425038763584
2019-06-18,-470.9821114414799
2019-06-19,-471.1468554115697
2019-06-20,-434.5630295089893
2019-06-21,-434.21848415135946
2019-06-24,-434.3161550742928
2019-06-25,-434.87275950178355
2019-06-26,-435.0658523379136
2019-06-27,-434.38294847836
2019-06-28,-434.5505566545768
2019-07-01,-434.3931019344014
2019-07-02,-434.1161050839258
2019-07-03,-434.5813883626422
2019-07-05,-434.69683583605877
2019-07-08,-433.7408237797208
2019-07-09,-433.68290432684955
2019-07-10,-433.52028587115444
2019-07-11,-434.03435123686285
2019-07-12,-433.5850590882335
2019-07-15,-433.80701192474794
2019-07-16,-434.16270475546787
2019-07-17,-433.9738681219436
2019-07-18,-434.4373331808936
2019-07-19,-434.987384475951
2019-07-22,-434.4449086640109
2019-07-23,-434.5812641504052
2019-07-24,-434.35213291815387
2019-07-25,-434.57517208556123
2019-07-26,-434.2364476906097
2019-07-29,-434.2057549811325
2019-07-30,-434.3797254277331
2019-07-31,-434.45622817813165
2019-08-01,-434.31981248680626
2019-08-02,-435.706881119586
2019-08-05,-436.0287312063434
2019-08-06,-437.7769290612937
2019-08-07,-437.6478343614055
2019-08-08,-437.62365034935215
2019-08-09,-437.54846582283074
2019-08-12,-437.19971483759724
2019-08-13,-437.9494639230843
2019-08-14,-437.08885761800036
2019-08-15,-437.92361158769296
2019-08-16,-438.6170178660395
2019-08-19,-438.63153020357566
2019-08-20,-438.14563279062315
2019-08-21,-438.5192235688371
2019-08-22,-438.12908652956753
2019-08-23,-437.7712974959722
2019-08-26,-438.58433814572356
2019-08-27,-438.67467760828015
2019-08-28,-439.00858303317784
2019-08-29,-439.12345866176656
2019-08-30,-438.88355212046156
2019-09-03,-438.96580900718004
2019-09-04,-439.68535954364256
2019-09-05,-439.8369173235802
2019-09-06,-438.9676158895047
2019-09-09,-438.847536722569
2019-09-10,-438.29285834431425
2019-09-11,-437.5370043683936
2019-09-12,-437.61823675139294
2019-09-13,-437.22994569573507
2019-09-16,-436.3408470541418
2019-09-17,-436.90602533035275
2019-09-18,-437.094620664976
2019-09-19,-437.10652832656876
2019-09-20,-424.4576279559845
2019-09-23,-424.80032307089175
2019-09-24,-424.9281687200671
2019-09-25,-425.64120191138863
2019-09-26,-425.0122242428403
2019-09-27,-425.1796760622593
2019-09-30,-425.25468551091785
2019-10-01,-425.4203302030701
2019-10-02,-425.92992719940344
2019-10-03,-426.43939536949944
2019-10-04,-427.22745734968737
2019-10-07,-427.01711338167206
2019-10-08,-426.74400554073634
2019-10-09,-427.18936017420094
2019-10-10,-426.7470872756054
2019-10-11,-426.04581367521587
2019-10-15,-425.4061547653506
2019-10-16,-425.1780460424145
2019-10-17,-425.5614307561193
2019-10-18,-425.47338621690955
2019-10-21,-425.6401213162441
2019-10-22,-425.4106409153295
2019-10-23,-425.7185850016011
2019-10-24,-425.67541087541804
2019-10-25,-425.7657704027709
2019-10-28,-425.4871437823797
2019-10-29,-425.306863824527
