,eff:2018-12-20|mat:5y|roll:None|coup:outright0.01,eff:2018-12-20|mat:5y|roll:None|coup:outright0.02,eff:2018-12-20|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-20|mat:5y|roll:None|coup:outright0.04,eff:2018-12-20|mat:5y|roll:None|coup:outright0.05
2018-05-09,-458.48060693437606,-458.48060693437606,-458.48060693437606,-458.48060693437606,-458.48060693437606
2018-05-10,-458.27921242214495,-458.27921242214495,-458.27921242214495,-458.27921242214495,-458.27921242214495
2018-05-11,-458.5051804699924,-458.5051804699924,-458.5051804699924,-458.5051804699924,-458.5051804699924
2018-05-14,-458.7939637466769,-458.7939637466769,-458.7939637466769,-458.7939637466769,-458.7939637466769
2018-05-15,-458.7186454329833,-458.7186454329833,-458.7186454329833,-458.7186454329833,-458.7186454329833
2018-05-16,-458.07572241571734,-458.07572241571734,-458.07572241571734,-458.07572241571734,-458.07572241571734
2018-05-17,-457.636414297545,-457.636414297545,-457.636414297545,-457.636414297545,-457.636414297545
2018-05-18,-457.6924864918667,-457.6924864918667,-457.6924864918667,-457.6924864918667,-457.6924864918667
2018-05-21,-458.33527102613584,-458.33527102613584,-458.33527102613584,-458.33527102613584,-458.33527102613584
2018-05-22,-458.27977561858484,-458.27977561858484,-458.27977561858484,-458.27977561858484,-458.27977561858484
2018-05-23,-458.31920021355546,-458.31920021355546,-458.31920021355546,-458.31920021355546,-458.31920021355546
2018-05-24,-459.16391932854776,-459.16391932854776,-459.16391932854776,-459.16391932854776,-459.16391932854776
2018-05-25,-459.4609472847517,-459.4609472847517,-459.4609472847517,-459.4609472847517,-459.4609472847517
2018-05-29,-460.1242504674095,-460.1242504674095,-460.1242504674095,-460.1242504674095,-460.1242504674095
2018-05-30,-462.4968667537358,-462.4968667537358,-462.4968667537358,-462.4968667537358,-462.4968667537358
2018-05-31,-461.2284277136382,-461.2284277136382,-461.2284277136382,-461.2284277136382,-461.2284277136382
2018-06-01,-460.78728487212777,-460.78728487212777,-460.78728487212777,-460.78728487212777,-460.78728487212777
2018-06-04,-460.1240122112838,-460.1240122112838,-460.1240122112838,-460.1240122112838,-460.1240122112838
2018-06-05,-459.6087530913268,-459.6087530913268,-459.6087530913268,-459.6087530913268,-459.6087530913268
2018-06-06,-459.87890840280204,-459.87890840280204,-459.87890840280204,-459.87890840280204,-459.87890840280204
2018-06-07,-459.491196165083,-459.491196165083,-459.491196165083,-459.491196165083,-459.491196165083
2018-06-08,-459.9776519118957,-459.9776519118957,-459.9776519118957,-459.9776519118957,-459.9776519118957
2018-06-11,-459.7730505338663,-459.7730505338663,-459.7730505338663,-459.7730505338663,-459.7730505338663
2018-06-12,-459.64655068228336,-459.64655068228336,-459.64655068228336,-459.64655068228336,-459.64655068228336
2018-06-13,-459.497442666424,-459.497442666424,-459.497442666424,-459.497442666424,-459.497442666424
2018-06-14,-459.19776028964725,-459.19776028964725,-459.19776028964725,-459.19776028964725,-459.19776028964725
2018-06-15,-459.4455760474587,-459.4455760474587,-459.4455760474587,-459.4455760474587,-459.4455760474587
2018-06-18,-459.6882898629849,-459.6882898629849,-459.6882898629849,-459.6882898629849,-459.6882898629849
2018-06-19,-459.84076584725625,-459.84076584725625,-459.84076584725625,-459.84076584725625,-459.84076584725625
2018-06-20,-460.1510514540274,-460.1510514540274,-460.1510514540274,-460.1510514540274,-460.1510514540274
2018-06-21,-459.78218910760086,-459.78218910760086,-459.78218910760086,-459.78218910760086,-459.78218910760086
2018-06-22,-460.2166730340143,-460.2166730340143,-460.2166730340143,-460.2166730340143,-460.2166730340143
2018-06-25,-460.24405542927104,-460.24405542927104,-460.24405542927104,-460.24405542927104,-460.24405542927104
2018-06-26,-460.57324832866715,-460.57324832866715,-460.57324832866715,-460.57324832866715,-460.57324832866715
2018-06-27,-460.6422267154977,-460.6422267154977,-460.6422267154977,-460.6422267154977,-460.6422267154977
2018-06-28,-461.22570704683443,-461.22570704683443,-461.22570704683443,-461.22570704683443,-461.22570704683443
2018-06-29,-461.1140408019187,-461.1140408019187,-461.1140408019187,-461.1140408019187,-461.1140408019187
2018-07-02,-460.79879758795266,-460.79879758795266,-460.79879758795266,-460.79879758795266,-460.79879758795266
2018-07-03,-460.64304697795876,-460.64304697795876,-460.64304697795876,-460.64304697795876,-460.64304697795876
2018-07-05,-461.07373651147725,-461.07373651147725,-461.07373651147725,-461.07373651147725,-461.07373651147725
2018-07-06,-460.9892337443939,-460.9892337443939,-460.9892337443939,-460.9892337443939,-460.9892337443939
2018-07-09,-461.20996903738774,-461.20996903738774,-461.20996903738774,-461.20996903738774,-461.20996903738774
2018-07-10,-460.989954868788,-460.989954868788,-460.989954868788,-460.989954868788,-460.989954868788
2018-07-11,-461.0617473736096,-461.0617473736096,-461.0617473736096,-461.0617473736096,-461.0617473736096
2018-07-12,-461.08193424468516,-461.08193424468516,-461.08193424468516,-461.08193424468516,-461.08193424468516
2018-07-13,-461.1703975946437,-461.1703975946437,-461.1703975946437,-461.1703975946437,-461.1703975946437
2018-07-16,-461.47987066558835,-461.47987066558835,-461.47987066558835,-461.47987066558835,-461.47987066558835
2018-07-17,-461.25929311993013,-461.25929311993013,-461.25929311993013,-461.25929311993013,-461.25929311993013
2018-07-18,-461.1470867747686,-461.1470867747686,-461.1470867747686,-461.1470867747686,-461.1470867747686
2018-07-19,-461.12665071060997,-461.12665071060997,-461.12665071060997,-461.12665071060997,-461.12665071060997
2018-07-20,-461.5189304973227,-461.5189304973227,-461.5189304973227,-461.5189304973227,-461.5189304973227
2018-07-23,-461.2338704561825,-461.2338704561825,-461.2338704561825,-461.2338704561825,-461.2338704561825
2018-07-24,-460.8818588605376,-460.8818588605376,-460.8818588605376,-460.8818588605376,-460.8818588605376
2018-07-25,-460.86769313192747,-460.86769313192747,-460.86769313192747,-460.86769313192747,-460.86769313192747
2018-07-26,-460.64746298510323,-460.64746298510323,-460.64746298510323,-460.64746298510323,-460.64746298510323
2018-07-27,-460.6370967058121,-460.6370967058121,-460.6370967058121,-460.6370967058121,-460.6370967058121
