,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-03,-3181.938324487899
2018-01-04,63.10553853788588
2018-01-05,-1127.6968807131052
2018-01-08,-1075.471191240169
2018-01-09,273.7851693443954
2018-01-10,-2917.933939173803
2018-01-11,195.52215892264212
2018-01-12,306.67906766038504
2018-01-16,-1072.0260014081578
2018-01-17,-483.6315690845804
2018-01-18,-2610.857771439143
2018-01-19,-1459.7038130160363
2018-01-22,-3029.5204761008063
2018-01-23,514.4922009711154
2018-01-24,2393.8278958942974
2018-01-25,-1379.4987235166918
2018-01-26,1096.6326500858268
2018-01-29,-2458.968707083157
2018-01-30,-1305.5422587917128
2018-01-31,-936.6655467715755
2018-02-01,-219.51729678631818
2018-02-02,-3942.9536498126545
2018-02-05,-1816.2736082925403
2018-02-06,8182.771843278111
2018-02-07,-5283.401434877378
2018-02-08,-811.0412599274714
2018-02-09,1259.8189571018447
2018-02-12,-701.0897580041055
2018-02-13,-714.062857500554
2018-02-14,1361.726414413337
2018-02-15,-4604.653197477135
2018-02-16,-662.6165932168951
2018-02-20,1356.8214493493724
2018-02-21,-547.7402896308777
2018-02-22,-3522.5779060349305
2018-02-23,2262.3668650369073
2018-02-26,2675.9564759625937
2018-02-27,466.21061267920595
2018-02-28,-2624.2058559436555
2018-03-01,1473.3361458669388
2018-03-02,3511.083024350999
2018-03-05,-2686.607698320935
2018-03-06,-814.0856414398586
2018-03-07,-830.5590150235221
2018-03-08,-5.229027326160576
2018-03-09,692.7660797791468
2018-03-12,-1451.4841881301254
2018-03-13,397.33464077312965
2018-03-14,614.2023933059099
2018-03-15,959.3821803413593
2018-03-16,-190.96186549495906
2018-03-19,-1129.2015377834032
2018-03-20,-281.7721445941279
2018-03-21,-1841.1256897931744
2018-03-22,621.29962313328
2018-03-23,2814.617386843558
2018-03-26,1374.0639442934626
2018-03-27,-2037.0036336809717
2018-03-28,4548.443250030541
2018-03-29,-814.2083457448898
2018-03-30,1102.2054167546157
2018-04-02,-26.82497448148206
2018-04-03,750.0504974649957
2018-04-04,-1985.8459068338852
2018-04-05,-1530.5052707211726
2018-04-06,-1129.024142491995
2018-04-09,2906.4246206667012
2018-04-10,-162.7034007866605
2018-04-11,-1126.3771589561075
2018-04-12,248.9304875711532
2018-04-13,-2722.979434816356
2018-04-16,144.04010751088208
2018-04-17,-53.604898940742714
2018-04-18,-81.02183269831585
2018-04-19,-1807.5562089403393
2018-04-20,-1456.4946678952401
2018-04-23,-2380.3251060493785
2018-04-24,-489.420655400696
2018-04-25,-454.4966736015631
2018-04-26,-1164.1502688087785
2018-04-27,1723.250181952244
2018-04-30,831.3159005286434
2018-05-01,-53.07638947678788
2018-05-02,-520.9205250861123
2018-05-03,215.62297639811004
2018-05-04,809.3835166741628
2018-05-07,-233.02249195316108
2018-05-08,-161.2963031136169
2018-05-09,-1300.2839570419164
2018-05-10,-912.8178928777343
2018-05-11,891.011494851351
2018-05-14,538.9538639131351
2018-05-15,-998.2874104869261
2018-05-16,-2987.161508716017
2018-05-17,-1524.6074725947983
2018-05-18,-122.8442031101149
2018-05-21,2553.6716451895045
2018-05-22,-340.81708618291304
2018-05-23,87.3746286911628
2018-05-24,2990.8233043529763
2018-05-25,793.8357275520102
2018-05-29,2402.5490764331043
2018-05-30,8187.869072881789
2018-05-31,-4585.9644113713
2018-06-01,-1308.2516847176303
2018-06-04,-2474.4451480721764
2018-06-05,-2227.1161769646715
2018-06-06,858.6279552459164
2018-06-07,-1744.9068991370877
2018-06-08,2111.6155625963
2018-06-11,-1157.1009936450282
2018-06-12,-569.0381427353423
2018-06-13,-576.8978877696209
2018-06-14,-962.6216698039498
2018-06-15,1231.7323464474175
2018-06-18,640.2605431659613
2018-06-19,129.1512399627536
2018-06-20,1085.058113430845
2018-06-21,-1665.8173640914029
2018-06-22,1784.8146651720745
2018-06-25,-0.5667625078931451
2018-06-26,838.0925254714093
2018-06-27,132.26283031146158
2018-06-28,2259.6420294362615
2018-06-29,-628.2604432990047
2018-07-02,-1330.9236113022926
2018-07-03,-781.9142450927902
2018-07-05,1564.01943375454
2018-07-06,-317.22967190263444
2018-07-09,566.9871837769897
2018-07-10,-1310.7482942443166
2018-07-11,499.31777975814475
2018-07-12,-175.84782198339235
2018-07-13,348.4170212663885
2018-07-16,1125.2470226032601
2018-07-17,-1244.2764644366252
2018-07-18,-427.15396912831056
2018-07-19,-410.88999647552555
2018-07-20,1383.4195956845506
2018-07-23,-1640.760959199586
2018-07-24,-2079.340645278149
2018-07-25,-126.67972261700197
2018-07-26,-1056.8204359075753
2018-07-27,50.390193105558865
2018-07-30,697.9191940577293
2018-07-31,-687.1580296158354
2018-08-01,105.26032521408342
2018-08-02,-1879.800194959942
2018-08-03,811.7767647444853
2018-08-06,1747.2594397332723
2018-08-07,631.7355523406441
2018-08-08,-1283.1432677817065
2018-08-09,816.3418926603917
2018-08-10,1387.8005078450951
2018-08-13,2673.0830528484803
2018-08-14,-331.47540039016167
2018-08-15,-1378.2230377234082
2018-08-16,1961.6800957532832
2018-08-17,-602.6191863223357
2018-08-20,13.33924846991431
2018-08-21,1923.1494395164918
2018-08-22,-290.85511561982275
2018-08-23,401.5675667158648
2018-08-24,-465.69163663242944
2018-08-27,291.2814281570463
2018-08-28,-906.4903146314027
2018-08-29,-2009.415257134111
2018-08-30,-512.0179932799219
2018-08-31,1671.9716699637938
2018-09-04,444.03569705807604
2018-09-05,-1505.8114933234901
2018-09-06,258.8894115197472
2018-09-07,1387.1123484732816
2018-09-10,-3796.7958174517844
2018-09-11,42.35666230940842
2018-09-12,-2208.2059197702038
2018-09-13,384.5981058704201
2018-09-14,-420.3768766585272
2018-09-17,-1220.8866744730767
2018-09-18,811.8376203874359
2018-09-19,-2365.251547991298
2018-09-20,-115.23751840047771
2018-09-21,-647.0764241940196
2018-09-24,275.16756889098906
2018-09-25,-682.3727255450503
2018-09-26,-782.469266648186
2018-09-27,1799.1812363918725
2018-09-28,-124.75960742543975
2018-10-01,85.66629184289195
2018-10-02,-459.9441673360707
2018-10-03,572.8758815288165
2018-10-04,-4125.92556114278
2018-10-05,-172.3182662590698
2018-10-09,-1203.2420117731963
2018-10-10,279.52247551092296
2018-10-11,2474.056867057894
2018-10-12,-126.08435903042846
2018-10-15,-194.55965494680277
2018-10-16,-67.51313137827674
2018-10-17,-787.900612983125
2018-10-18,-1580.8632107685553
2018-10-19,609.767487674646
2018-10-22,-501.88961554488924
2018-10-23,215.3106358008372
2018-10-24,1389.9970418863668
2018-10-25,3215.9697218173824
2018-10-26,-702.7949922510015
2018-10-29,2278.049688912113
2018-10-30,-774.170141918381
2018-10-31,-1534.3241961897875
2018-11-01,-729.4358735858696
2018-11-02,726.378518223617
2018-11-05,-3114.3638202913426
2018-11-06,410.1456891285052
2018-11-07,-951.2892077796278
2018-11-08,-677.4645404004114
2018-11-09,-234.78166102422983
2018-11-13,2110.0983789908933
2018-11-14,2300.668157688706
2018-11-15,971.3164607785147
2018-11-16,762.6438420772902
2018-11-19,2822.7350915448915
2018-11-20,436.76872698833176
2018-11-21,-805.8518196301447
2018-11-23,-273.7612076090445
2018-11-26,1081.9810833832744
2018-11-27,-614.7360497475602
2018-11-28,30.232343531562947
2018-11-29,1255.018482678628
2018-11-30,978.4994166646939
2018-12-03,1262.0362978658814
2018-12-04,-381.1928107904969
2018-12-05,1812.9289183318615
2018-12-06,12.312345417420147
2018-12-07,1632.6234214789874
2018-12-10,3785.4767502425966
2018-12-11,233.65689950453816
2018-12-12,-1575.8190502757934
2018-12-13,-1704.1969120079593
2018-12-14,646.5434969828639
2018-12-17,1202.1289348120044
2018-12-18,1679.7129115667049
2018-12-19,2860.30637986114
2018-12-20,1746.5771512427018
2018-12-21,-2873.921340046625
2018-12-24,1478.348556417739
2018-12-26,3281.6220287859323
2018-12-27,-2734.533384918992
2018-12-28,2237.0561108775
2018-12-31,2815.922374950722
2019-01-02,1722.395416555868
2019-01-03,1683.1870926839474
2019-01-04,5316.727280592357
2019-01-07,-7104.385532899629
2019-01-08,-1736.644062978099
2019-01-09,-2004.9630937614274
2019-01-10,1091.1110253530787
2019-01-11,-937.6189523838402
2019-01-14,1516.636474714178
2019-01-15,-22.540695767165744
2019-01-16,-332.75428481078416
2019-01-17,-383.69239301863126
2019-01-18,-1600.4033458311606
2019-01-22,-2306.4871183659416
2019-01-23,2429.8777498606796
2019-01-24,138.40889024472563
2019-01-25,1149.511429360573
2019-01-28,-2237.995388152951
2019-01-29,997.8861280182027
2019-01-30,1413.5721579852252
2019-01-31,2259.3302627165103
2019-02-01,2259.84938831818
2019-02-04,-2799.4456703298056
2019-02-05,-1506.1002239880036
2019-02-06,1048.9049642710452
2019-02-07,250.9043587904307
2019-02-08,1694.0582874379033
2019-02-11,906.5174684838712
2019-02-12,-731.6092692287639
2019-02-13,-1328.959937297026
2019-02-14,-1104.0239219414216
2019-02-15,1881.5889488897956
2019-02-19,-671.6542796540743
2019-02-20,1929.6356475986395
2019-02-21,-256.19427955019637
2019-02-22,-1290.8000866272196
2019-02-25,1692.1912389868376
2019-02-26,115.81183937600872
2019-02-27,1213.4237688787252
2019-02-28,-1404.7891991577926
2019-03-01,-1467.667743183265
2019-03-04,-1658.0370784487895
2019-03-05,1306.593835122825
