,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-06-18,-464.7564715838127
2018-06-19,-464.79023765872273
2018-06-20,-465.2058555589638
2018-06-21,-464.7542265454789
2018-06-22,-465.1161986875526
2018-06-25,-465.1783872535625
2018-06-26,-465.4491696332753
2018-06-27,-465.5579131744963
2018-06-28,-466.20075591926513
2018-06-29,-466.17393074052626
2018-07-02,-465.82933944496665
2018-07-03,-465.7557527515571
2018-07-05,-466.12680242430633
2018-07-06,-466.0214434536267
2018-07-09,-466.2152901815655
2018-07-10,-465.90566723056133
2018-07-11,-465.9890938036753
2018-07-12,-466.00546087036196
2018-07-13,-466.0518967394657
2018-07-16,-466.34367536580123
2018-07-17,-466.0225448054756
2018-07-18,-465.88157357638954
2018-07-19,-465.80920900524234
2018-07-20,-466.1539555466835
2018-07-23,-465.7635086617033
2018-07-24,-465.28311577091836
2018-07-25,-465.23713650583863
2018-07-26,-464.98632262066457
2018-07-27,-464.9252751301241
2018-07-30,-465.09638549603017
2018-07-31,-465.0977287019442
2018-08-01,-465.2467361480792
2018-08-02,-464.9773781675487
2018-08-03,-465.16661829532234
2018-08-06,-465.62600255188363
2018-08-07,-465.81449083850447
2018-08-08,-465.4248598390359
2018-08-09,-465.605939454743
2018-08-10,-465.9479048051653
2018-08-13,-466.6362526627008
2018-08-14,-466.60153379794065
2018-08-15,-466.2831986181493
2018-08-16,-466.8015814574385
2018-08-17,-466.7619163383878
2018-08-20,-466.75182835104465
2018-08-21,-467.2866537717324
2018-08-22,-467.1686752635567
2018-08-23,-467.27711580795443
2018-08-24,-467.0947059868175
2018-08-27,-467.2048491471211
2018-08-28,-466.95792514023356
2018-08-29,-466.6555853207611
2018-08-30,-466.5088921877639
2018-08-31,-466.97334522892316
2018-09-04,-467.1770717063423
2018-09-05,-466.92856438981886
2018-09-06,-466.89013942765814
2018-09-07,-467.20487045015113
2018-09-10,-466.3452599738575
2018-09-11,-466.4758828520513
2018-09-12,-465.925391723779
2018-09-13,-465.9363051241076
2018-09-14,-465.7788821566388
2018-09-17,-465.5514371421336
2018-09-18,-465.77688642371874
2018-09-19,-465.2009061745922
2018-09-20,-465.2907674424045
2018-09-21,-465.2404154927051
2018-09-24,-465.4377554664328
2018-09-25,-465.3661809798258
2018-09-26,-465.27314267377017
2018-09-27,-465.69278750515275
2018-09-28,-465.6282061937877
2018-10-01,-465.69188518505837
2018-10-02,-465.63743490880194
2018-10-03,-465.79242235996526
2018-10-04,-464.81827784213874
2018-10-05,-464.7385348008329
2018-10-09,-464.46591200772474
2018-10-10,-464.6670058527658
2018-10-11,-465.40145990455426
2018-10-12,-465.46870791362073
2018-10-15,-465.4204689299447
2018-10-16,-465.54131038899254
2018-10-17,-465.5024269758286
2018-10-18,-465.19122154814204
2018-10-19,-465.56845497082907
2018-10-22,-465.3712425369422
2018-10-23,-465.3958225020955
2018-10-24,-465.8412768054593
2018-10-25,-466.7611423119603
2018-10-26,-466.55094778574266
2018-10-29,-467.0290376250648
2018-10-30,-466.86406143405543
2018-10-31,-466.55718222358155
2018-11-01,-466.3132923177725
2018-11-02,-466.6348507485234
2018-11-05,-465.9368256258218
2018-11-06,-466.0368511250525
2018-11-07,-465.720849842259
2018-11-08,-465.5372280277704
2018-11-09,-465.4969385046958
2018-11-13,-465.9714004315059
2018-11-14,-466.6221417018293
2018-11-15,-466.9725045998565
2018-11-16,-467.2556538088794
2018-11-19,-468.0527525035898
2018-11-20,-468.26038680932595
2018-11-21,-468.08759416650344
2018-11-23,-468.07864487466566
2018-11-26,-468.35619057552583
2018-11-27,-468.267708774388
