,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-12-14,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-11,2023-12-04,2023-12-11,2024-04-30,2024-05-07,2024-04-30,2024-05-07,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-11,2024-12-04,2024-12-11,2025-04-30,2025-05-07,2025-04-30,2025-05-07,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-13,2038-12-06,2038-12-13,2039-04-29,2039-05-09,2039-04-29,2039-05-09
2018-12-17,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-18,2023-12-04,2023-12-18,2024-04-30,2024-05-14,2024-04-30,2024-05-14,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-18,2024-12-04,2024-12-18,2025-04-30,2025-05-14,2025-04-30,2025-05-14,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-20,2038-12-06,2038-12-20,2039-04-29,2039-05-16,2039-04-29,2039-05-16
2018-12-18,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-18,2023-12-04,2023-12-18,2024-04-30,2024-05-14,2024-04-30,2024-05-14,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-18,2024-12-04,2024-12-18,2025-04-30,2025-05-14,2025-04-30,2025-05-14,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-20,2038-12-06,2038-12-20,2039-04-29,2039-05-16,2039-04-29,2039-05-16
2018-12-19,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-18,2023-12-04,2023-12-18,2024-04-30,2024-05-14,2024-04-30,2024-05-14,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-18,2024-12-04,2024-12-18,2025-04-30,2025-05-14,2025-04-30,2025-05-14,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-20,2038-12-06,2038-12-20,2039-04-29,2039-05-16,2039-04-29,2039-05-16
2018-12-20,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-18,2023-12-04,2023-12-18,2024-04-30,2024-05-14,2024-04-30,2024-05-14,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-18,2024-12-04,2024-12-18,2025-04-30,2025-05-14,2025-04-30,2025-05-14,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-20,2038-12-06,2038-12-20,2039-04-29,2039-05-16,2039-04-29,2039-05-16
2018-12-21,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-18,2023-12-04,2023-12-18,2024-04-30,2024-05-14,2024-04-30,2024-05-14,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-18,2024-12-04,2024-12-18,2025-04-30,2025-05-14,2025-04-30,2025-05-14,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-20,2038-12-06,2038-12-20,2039-04-29,2039-05-16,2039-04-29,2039-05-16
2018-12-24,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-27,2023-12-04,2023-12-27,2024-04-30,2024-05-21,2024-04-30,2024-05-21,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-27,2024-12-04,2024-12-27,2025-04-30,2025-05-21,2025-04-30,2025-05-21,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-29,2038-12-06,2038-12-29,2039-04-29,2039-05-23,2039-04-29,2039-05-23
2018-12-27,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-27,2023-12-04,2023-12-27,2024-04-30,2024-05-21,2024-04-30,2024-05-21,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-27,2024-12-04,2024-12-27,2025-04-30,2025-05-21,2025-04-30,2025-05-21,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-29,2038-12-06,2038-12-29,2039-04-29,2039-05-23,2039-04-29,2039-05-23
2018-12-28,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2023-12-27,2023-12-04,2023-12-27,2024-04-30,2024-05-21,2024-04-30,2024-05-21,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2024-12-27,2024-12-04,2024-12-27,2025-04-30,2025-05-21,2025-04-30,2025-05-21,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-29,2038-12-06,2038-12-29,2039-04-29,2039-05-23,2039-04-29,2039-05-23
2018-12-31,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-04,2024-01-02,2023-12-04,2024-01-02,2024-04-30,2024-05-28,2024-04-30,2024-05-28,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-04,2025-01-02,2024-12-04,2025-01-02,2025-04-30,2025-05-28,2025-04-30,2025-05-28,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2039-01-04,2038-12-06,2039-01-04,2039-04-29,2039-05-31,2039-04-29,2039-05-31
