,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-03,-3200.135072009245
2018-01-04,63.699225047574146
2018-01-05,-1136.9111540716985
2018-01-08,-1085.4281436627061
2018-01-09,277.51132623277954
2018-01-10,-2948.677788085508
2018-01-11,199.57402566092787
2018-01-12,308.5966107238637
2018-01-16,-1079.2889969336684
2018-01-17,-484.741481454068
2018-01-18,-2636.0266692084406
2018-01-19,-1473.5809287846496
2018-01-22,-3065.331857564699
2018-01-23,520.5081870966678
2018-01-24,2417.2495477760676
2018-01-25,-1393.066810691802
2018-01-26,1112.3649136858876
2018-01-29,-2481.480779802616
2018-01-30,-1320.3574879756052
2018-01-31,-948.3674799053842
2018-02-01,-218.09070930370945
2018-02-02,-3987.4620964060305
2018-02-05,-1842.1363084871555
2018-02-06,8275.737055631136
2018-02-07,-5342.857537333679
2018-02-08,-823.6255057460512
2018-02-09,1274.2036034614866
2018-02-12,-711.8852712136577
2018-02-13,-724.5015888499911
2018-02-14,1381.6097309061151
2018-02-15,-4656.868055426545
2018-02-16,-669.11840595369
2018-02-20,1374.3853555803362
2018-02-21,-551.6299364335282
2018-02-22,-3571.5748432445253
2018-02-23,2293.296434173506
2018-02-26,2715.012371037825
2018-02-27,472.38243927722215
2018-02-28,-2656.8228682786284
2018-03-01,1495.0553531699115
2018-03-02,3551.643238260396
2018-03-05,-2720.2291813829943
2018-03-06,-824.0056472842989
2018-03-07,-839.8623430557636
2018-03-08,-5.232978839427233
2018-03-09,702.3710717322538
2018-03-12,-1470.1427073858213
2018-03-13,404.3483805966389
2018-03-14,622.1857880387543
2018-03-15,973.2395388849982
2018-03-16,-194.1440486181964
2018-03-19,-1142.942700198706
2018-03-20,-286.0005404186668
2018-03-21,-1865.0430664356827
2018-03-22,627.4880000216217
2018-03-23,2853.6495363987924
2018-03-26,1390.34292349132
2018-03-27,-2063.3758265599463
2018-03-28,4604.3315691528405
2018-03-29,-823.3439259986772
2018-03-30,1120.727114475245
2018-04-02,-30.131041614557034
2018-04-03,760.6580880633992
2018-04-04,-2009.2578240958246
2018-04-05,-1551.7252939568862
2018-04-06,-1143.3618823853176
2018-04-09,2943.9759238403785
2018-04-10,-163.91257694194792
2018-04-11,-1140.9344481425505
2018-04-12,253.4972611064877
2018-04-13,-2757.6026472381927
2018-04-16,148.75717388365592
2018-04-17,-50.58296432714269
2018-04-18,-82.29331057083618
2018-04-19,-1831.2329043232166
2018-04-20,-1479.3274381150113
2018-04-23,-2412.832745204447
2018-04-24,-493.23644228592457
2018-04-25,-463.0331990986888
2018-04-26,-1183.3672158767877
2018-04-27,1750.881145601379
2018-04-30,844.5690263659199
2018-05-01,-52.600705559234484
2018-05-02,-524.965242840306
2018-05-03,215.9115619679942
2018-05-04,817.851879684531
2018-05-07,-233.37805032846518
2018-05-08,-164.0974384471483
2018-05-09,-1314.680124845123
2018-05-10,-923.1676730947947
2018-05-11,906.1314596251614
2018-05-14,548.6762074596481
2018-05-15,-1007.7379670816299
2018-05-16,-3023.850847175956
2018-05-17,-1545.6634133315529
2018-05-18,-127.9084533144196
2018-05-21,2586.7081825442874
2018-05-22,-343.5019625744317
2018-05-23,88.36040225195757
2018-05-24,3019.190681997512
2018-05-25,805.3981210081256
2018-05-29,2430.193021275045
2018-05-30,8279.728123356821
2018-05-31,-4636.183591732217
2018-06-01,-1322.297791963254
2018-06-04,-2501.1391842384473
2018-06-05,-2253.2608745649923
2018-06-06,867.6575783150765
2018-06-07,-1766.058057936083
2018-06-08,2138.990799594001
2018-06-11,-1172.2488696939981
2018-06-12,-572.7087713738874
2018-06-13,-580.7907040629507
2018-06-14,-972.4090772440104
2018-06-15,1252.0809891734825
2018-06-18,648.6980850406107
2018-06-19,131.17237281278358
2018-06-20,1095.358384520965
2018-06-21,-1683.7642359194433
2018-06-22,1806.755613384681
2018-06-25,-1.078906153110438
2018-06-26,846.809267940218
2018-06-27,133.6022085606237
2018-06-28,2284.760937827741
2018-06-29,-635.1648068325012
2018-07-02,-1344.8537645919132
2018-07-03,-789.864544171578
2018-07-05,1583.7226259866002
2018-07-06,-318.9423143284803
2018-07-09,572.2567642187933
2018-07-10,-1325.0704706726247
2018-07-11,507.1067102582456
2018-07-12,-178.35986333110486
2018-07-13,353.48914030121523
2018-07-16,1138.0222453911847
2018-07-17,-1256.1038177868322
2018-07-18,-430.81211597676156
2018-07-19,-417.4622557491675
2018-07-20,1398.2016150053096
2018-07-23,-1659.6764812812326
2018-07-24,-2100.14359064975
2018-07-25,-127.08758102086722
2018-07-26,-1066.6633132487186
2018-07-27,53.25042562682938
2018-07-30,705.9157669344859
2018-07-31,-696.1710241989058
2018-08-01,105.67641602896038
2018-08-02,-1902.8180133141723
2018-08-03,821.6523811253282
2018-08-06,1765.3507242464984
2018-08-07,639.3620446252171
2018-08-08,-1293.672381566139
2018-08-09,825.5928094674455
2018-08-10,1401.5638970315485
2018-08-13,2698.467969153411
2018-08-14,-334.74957090467797
2018-08-15,-1388.9655334560375
2018-08-16,1980.4111648730322
2018-08-17,-607.3944396249135
2018-08-20,13.727993727239664
2018-08-21,1941.4609073430474
2018-08-22,-293.27909600124985
2018-08-23,404.8862773084984
2018-08-24,-468.3315215683979
2018-08-27,295.1966763563687
2018-08-28,-920.6838945466006
2018-08-29,-2021.8541698215558
2018-08-30,-515.0575893110508
2018-08-31,1686.6472015548352
2018-09-04,447.14963080848975
2018-09-05,-1520.6171481362398
2018-09-06,262.03383387069334
2018-09-07,1399.3735220473172
2018-09-10,-3828.7896264319425
2018-09-11,43.17582696971658
2018-09-12,-2227.842998621636
2018-09-13,390.2349867889134
2018-09-14,-422.4369146574463
2018-09-17,-1232.8040207888698
2018-09-18,820.462578253122
2018-09-19,-2385.086657859327
2018-09-20,-119.46332822919067
2018-09-21,-654.729167881771
2018-09-24,274.8596377740614
2018-09-25,-688.7777131542098
2018-09-26,-791.2394859583292
2018-09-27,1817.8235436093673
2018-09-28,-124.25828950706637
2018-10-01,85.51343710023502
2018-10-02,-462.8911123282887
2018-10-03,578.2327172967052
2018-10-04,-4162.329041514895
2018-10-05,-171.12857910586172
2018-10-09,-1213.0730414884893
2018-10-10,280.5812365053134
2018-10-11,2492.1585323062463
2018-10-12,-129.84306333078712
2018-10-15,-194.36458573368145
2018-10-16,-70.00456196680898
2018-10-17,-798.4550083357462
2018-10-18,-1597.1526798970299
2018-10-19,608.3899492730416
2018-10-22,-503.5399991199811
2018-10-23,221.53599851149193
2018-10-24,1400.3897859711724
2018-10-25,3243.9730362876144
2018-10-26,-706.9053851331264
2018-10-29,2302.217054914683
2018-10-30,-780.340133134916
2018-10-31,-1550.341022183231
2018-11-01,-733.9895903464349
2018-11-02,729.1713318188122
2018-11-05,-3145.609100385045
2018-11-06,417.6301230220124
2018-11-07,-955.8370103115158
2018-11-08,-682.2117479883891
2018-11-09,-236.9932746336417
2018-11-13,2132.0693506156676
2018-11-14,2322.4854683081066
2018-11-15,977.602603351319
2018-11-16,767.9065916038526
2018-11-19,2847.1792651710857
2018-11-20,439.802258978656
2018-11-21,-812.6692899131012
2018-11-23,-276.58909618230246
2018-11-26,1093.9254986500891
2018-11-27,-619.8179963631992
2018-11-28,31.65442530332075
2018-11-29,1265.3264582154952
2018-11-30,988.7624395478342
2018-12-03,1275.438552594278
2018-12-04,-381.29267594033445
2018-12-05,1828.888521058645
2018-12-06,14.363774199227919
2018-12-07,1644.1721884693834
2018-12-10,3819.901751842379
2018-12-11,235.36895872368768
2018-12-12,-1588.7637671163102
2018-12-13,-1721.1697482086456
2018-12-14,652.6836016951565
