"","EDZ19","EDH20","EDM20","EDU20","EDZ20","EDH21","EDM21","EDU21","EDZ21","EDH22","EDM22","EDU22","EDZ22","EDH23","EDM23","EDU23","EDZ23","EDH24","EDM24","EDU24","EDZ24"
"EDM22",0.991993947777588,0.993189786379465,0.993323302331778,0.992474448840889,0.991568125668774,0.99085348928726,0.989715690447731,0.988737960081889,0.988258628320912,0.984707098825238,0.982698589566275,0.982705160972315,0.982709294169884,0.982753932592185,0.982746823437741,0.982699952992761,0.982700683727803,0.982720763803746,0.982773348044698,0.982797882119033,0.982810102639953
"EDU22",0.99260534243845,0.994652558742656,0.995054089974429,0.99435716654971,0.993303988559762,0.992727123784966,0.991211559819055,0.989741563502094,0.988784733875513,0.985094800733733,0.982705160972315,0.978452473734169,0.979399448210209,0.979794422187216,0.97985161490628,0.979749827322149,0.979801123775706,0.979401818698748,0.979149284037094,0.979034464268829,0.979041919410749
"EDZ22",0.991794766086446,0.995020021353467,0.995519861703308,0.995026880267887,0.994321756588012,0.993595653916601,0.991928258499669,0.990238373245738,0.988915266697371,0.98492786669023,0.982709294169884,0.979399448210209,0.970954558141098,0.972105601413752,0.972933947220077,0.973468078743383,0.974302760608094,0.973721474436638,0.973190160728931,0.973069152074975,0.973060898198727
"EDH23",0.99040397911859,0.994940872043233,0.99563266135967,0.99543849526658,0.9947920039111,0.994041874019117,0.99248825066927,0.990706243965625,0.989105113048237,0.984829762261506,0.982753932592185,0.979794422187216,0.972105601413752,0.963078241292667,0.966541870336945,0.967534282634591,0.968255400858581,0.968392153764999,0.968026800455717,0.967889496189804,0.967521878095589
"EDM23",0.987495495018608,0.993826045809526,0.995039513553048,0.995145237740398,0.994730576817132,0.994221214795511,0.992991551548984,0.99113843372784,0.989401277520776,0.984898338619052,0.982746823437741,0.97985161490628,0.972933947220077,0.966541870336945,0.952245173262297,0.956065423156992,0.958120811167682,0.960137448355066,0.961281125358114,0.961849502538806,0.961056619698955
"EDU23",0.984538584465075,0.992315907124431,0.994026334359702,0.994814463517454,0.994586752041706,0.994310897397221,0.993315257923515,0.991656100260115,0.989861852196876,0.985180071243551,0.982699952992761,0.979749827322149,0.973468078743383,0.967534282634591,0.956065423156992,0.940394016799469,0.948159236921035,0.950378778142706,0.953646093217891,0.956739040152509,0.956504939283471
"EDZ23",0.981296227478165,0.990498123429518,0.992755024304381,0.994041877613295,0.994125920388799,0.994160858266942,0.993374898461502,0.991756012312133,0.99006404855284,0.985369083773185,0.982700683727803,0.979801123775706,0.974302760608094,0.968255400858581,0.958120811167682,0.948159236921035,0.925742591311346,0.930744129844146,0.936148265305051,0.942464254493835,0.948180237629988
"EDH24",0.977650965272809,0.988836889935728,0.991473157543946,0.993286096368702,0.993627439477909,0.994053277633742,0.993632565768522,0.992131912929078,0.9903625152887,0.985562311393377,0.982720763803746,0.979401818698748,0.973721474436638,0.968392153764999,0.960137448355066,0.950378778142706,0.930744129844146,0.91425251514213,0.921705072428379,0.932470041030661,0.935902866729299
"EDM24",0.973532801786149,0.986339734123017,0.989544975621466,0.991988156444047,0.992781206250394,0.993578745824347,0.993584694919555,0.992281388906764,0.990604740425023,0.985686576830817,0.982773348044698,0.979149284037094,0.973190160728931,0.968026800455717,0.961281125358114,0.953646093217891,0.936148265305051,0.921705072428379,0.900500396313658,0.917774355779902,0.918208515645473
"EDU24",0.969158748106258,0.983858815772884,0.987665853032922,0.990599920380081,0.991811650571305,0.992902016004761,0.993312311828431,0.992219567342419,0.99066035972419,0.985748934598197,0.982797882119033,0.979034464268829,0.973069152074975,0.967889496189804,0.961849502538806,0.956739040152509,0.942464254493835,0.932470041030661,0.917774355779902,0.883770442438369,0.891502337363223
"EDZ24",0.965704692733919,0.981765789660467,0.986555630800677,0.989951713788508,0.991262276882919,0.992606778511844,0.993075215680377,0.992123717198395,0.990616060892204,0.98581264695036,0.982810102639953,0.979041919410749,0.973060898198727,0.967521878095589,0.961056619698955,0.956504939283471,0.948180237629988,0.935902866729299,0.918208515645473,0.891502337363223,0.869718990143099
