,0
0,0.9916629781507519
1,0.9836835223065169
2,0.9765590600672731
3,0.9697831783509129
4,0.9633504315489613
5,0.9567271189612689
6,0.9502101475238041
7,0.9436626367288347
8,0.9370225488161569
9,0.9301879872610755
10,0.9961002950076113
11,0.9916629781507519
12,0.9875648810649266
13,0.9836835223065169
14,0.9799993429707511
15,0.9765590600672731
16,0.9731566865167598
17,0.9697831783509129
18,0.9665070057755129
19,0.9633504315489613
20,0.9599859795144701
21,0.9567271189612689
22,0.9534651437311527
23,0.9502101475238041
24,0.9469478607849925
25,0.9436626367288347
26,0.9403494215455601
27,0.9370225488161569
28,0.9336292684341709
29,0.9301879872610755
